cust_id,lookalikes
C0001,"[{'cust_id': 'C0174', 'score': 0.9921950933519943}, {'cust_id': 'C0152', 'score': 0.9872873463423041}, {'cust_id': 'C0085', 'score': 0.9149423606886057}]"
C0002,"[{'cust_id': 'C0159', 'score': 0.9856803265611225}, {'cust_id': 'C0043', 'score': 0.8852007569926726}, {'cust_id': 'C0178', 'score': 0.8562595726935812}]"
C0003,"[{'cust_id': 'C0031', 'score': 0.9381777182596581}, {'cust_id': 'C0129', 'score': 0.9226381846869548}, {'cust_id': 'C0195', 'score': 0.9150506641711609}]"
C0004,"[{'cust_id': 'C0012', 'score': 0.9780970207655875}, {'cust_id': 'C0148', 'score': 0.9611371964183694}, {'cust_id': 'C0113', 'score': 0.9288766506438708}]"
C0005,"[{'cust_id': 'C0140', 'score': 0.9922482880187513}, {'cust_id': 'C0007', 'score': 0.9892039272909169}, {'cust_id': 'C0146', 'score': 0.8813730643971281}]"
C0006,"[{'cust_id': 'C0187', 'score': 0.9923559983140174}, {'cust_id': 'C0108', 'score': 0.9427630072651944}, {'cust_id': 'C0048', 'score': 0.8912271316693409}]"
C0007,"[{'cust_id': 'C0005', 'score': 0.9892039272909169}, {'cust_id': 'C0140', 'score': 0.9715265684108232}, {'cust_id': 'C0146', 'score': 0.8907097229914944}]"
C0008,"[{'cust_id': 'C0122', 'score': 0.9667713620393565}, {'cust_id': 'C0046', 'score': 0.9606056045562361}, {'cust_id': 'C0067', 'score': 0.9246673717955989}]"
C0009,"[{'cust_id': 'C0198', 'score': 0.9999815358811738}, {'cust_id': 'C0058', 'score': 0.8025969747010396}, {'cust_id': 'C0061', 'score': 0.8000442835642246}]"
C0010,"[{'cust_id': 'C0132', 'score': 0.9496101235559719}, {'cust_id': 'C0061', 'score': 0.8874418751087787}, {'cust_id': 'C0167', 'score': 0.8352519309764422}]"
C0011,"[{'cust_id': 'C0107', 'score': 0.9962793514733451}, {'cust_id': 'C0126', 'score': 0.9758877488154336}, {'cust_id': 'C0048', 'score': 0.8923083234980727}]"
C0012,"[{'cust_id': 'C0148', 'score': 0.9964827760307721}, {'cust_id': 'C0004', 'score': 0.9780970207655875}, {'cust_id': 'C0102', 'score': 0.9280143729204388}]"
C0013,"[{'cust_id': 'C0155', 'score': 0.9922179962522937}, {'cust_id': 'C0099', 'score': 0.9857667303434399}, {'cust_id': 'C0087', 'score': 0.9792248170946501}]"
C0014,"[{'cust_id': 'C0060', 'score': 0.9993796306016353}, {'cust_id': 'C0089', 'score': 0.897785238333565}, {'cust_id': 'C0097', 'score': 0.8817253942106267}]"
C0015,"[{'cust_id': 'C0131', 'score': 0.9787892641231285}, {'cust_id': 'C0036', 'score': 0.8730888032835341}, {'cust_id': 'C0123', 'score': 0.8443549945353767}]"
C0016,"[{'cust_id': 'C0183', 'score': 0.9874534868773336}, {'cust_id': 'C0154', 'score': 0.8929308388254691}, {'cust_id': 'C0117', 'score': 0.8847776708437688}]"
C0017,"[{'cust_id': 'C0053', 'score': 0.9770007187454188}, {'cust_id': 'C0041', 'score': 0.9714872085222271}, {'cust_id': 'C0182', 'score': 0.9707740045890053}]"
C0018,"[{'cust_id': 'C0046', 'score': 0.9158794300938764}, {'cust_id': 'C0122', 'score': 0.9120056335214761}, {'cust_id': 'C0008', 'score': 0.9058119062371925}]"
C0019,"[{'cust_id': 'C0070', 'score': 0.9590846451629071}, {'cust_id': 'C0172', 'score': 0.8835897629927679}, {'cust_id': 'C0121', 'score': 0.8694656403516441}]"
C0020,"[{'cust_id': 'C0058', 'score': 0.8615344712188334}, {'cust_id': 'C0033', 'score': 0.8583557370200213}, {'cust_id': 'C0130', 'score': 0.8554108948476858}]"
